time,value
0,0.3333333333333333
2,0.7708333333333334
4,0.8068181818181819
6,0.6815025252525254
8,0.775757575757576
10,0.810816498316498
12,0.7505411255411255
14,0.8137747668997667
16,0.7511767079074775
18,0.6975212287712284
20,0.651019813519814
22,0.600941366325981
24,0.5580169830169829
26,0.5208158508158505
28,0.48826486013986026
30,0.47061673266492543
32,0.4541998698975442
34,0.4340132090132089
36,0.4111704085388296
38,0.39061188811188824
40,0.3720113220113221
42,0.35510171646535266
44,0.3528981794068003
46,0.3944098933853029
48,0.4267031796328672
50,0.4243881118881119
52,0.45620004995005037
54,0.4819726506370342
56,0.4799430284627656
58,0.5104028355610633
