time,value
0,0
2,0.860042735042735
4,1.7694897694897695
6,1.8078865578865577
8,1.890753690753691
10,2.1564361564361563
12,2.046176046176045
14,2.093118686868686
16,2.2708063541396872
18,2.182614607614608
20,2.130659744296106
22,2.1778522403522405
24,2.114861634092403
26,2.1225302475302468
28,2.1830484330484334
30,2.1004273504273505
32,2.068673156908451
34,2.1175645342312004
36,2.083599149388622
38,2.0627525252525234
40,2.051827801827801
42,1.9699265381083562
44,1.9565217391304348
46,1.9918981481481481
48,1.9388888888888884
50,1.8995726495726504
52,1.8981481481481484
54,1.84920634920635
56,1.8304597701149423
58,1.8296296296296293
