time,value
0,0.5714285714285714
2,4.478021978021978
4,6.5611055611055615
6,6.170829170829171
8,7.245754245754245
10,7.986846486846487
12,7.2506303220588935
14,7.240134865134865
16,7.1124431124431124
18,6.4011988011988015
20,6.091998910180728
22,5.925241425241425
24,5.4812879428264045
26,5.550806336520623
28,5.7363081363081365
32,5.727788877788878
34,6.33203659086012
36,6.576216376216376
38,6.95479608111187
40,7.444556277056277
42,7.637672644815502
44,7.892778433687524
46,8.056860530773573
48,7.783658008658008
50,7.555948051948051
52,7.50571928071928
54,7.258593875260541
56,7.130310760667903
58,7.351281477143545
