time,value
0,0.7496296296296292
2,2.1559142709142702
4,2.30167659500993
6,2.0865527065527023
8,2.321060347060347
10,2.1937870154536796
12,2.0439419839419886
14,2.263648342398347
16,2.213667095756649
18,2.078180978180977
20,2.130573550512201
22,2.1049719319382243
24,2.1043862297748346
26,2.2165407775984676
28,2.1890397594433475
30,2.1143024591742514
32,2.1418928741509364
34,2.1978372984098176
36,2.2311488952283267
38,2.3119481165714038
40,2.371260462302811
42,2.405575342531856
44,2.4920463479810575
46,2.573056504732644
48,2.614855005726951
50,2.677317069201882
52,2.7347493536410403
54,2.7730320380805784
56,2.826930537586266
58,2.870511326280562
60,2.910793937647869
