time,value
0,1.9394949494949498
2,6.873914141414142
4,7.409804454804455
6,7.272490287490286
8,8.896209013209017
10,9.061836959336954
12,8.485886890886896
14,8.72481435582701
16,8.081439284810086
18,7.3627989294655976
20,7.126573070151059
22,6.804919263742798
24,6.5299494648331935
26,6.918845622802454
28,7.1648704390315165
30,7.1837963573812615
32,7.4453929371089185
34,7.433757645210154
36,7.205087299531749
38,7.140023349068584
40,6.918737615388332
42,6.707817727680759
44,6.8070143063564155
46,6.818711027534554
48,6.720096749129015
50,6.864585328538825
52,6.902222135244523
54,6.8253071668539205
56,7.066775797504954
58,7.163528287521568
