time,value
0,0
2,0.9054972804972804
4,1.7888500388500392
6,1.8416375291375289
8,1.8835664335664335
10,2.097416472416473
12,1.9839327339327337
14,2.045066045066045
16,2.238431321764655
18,2.170143745143745
20,2.115049092321819
22,2.1610172235172227
24,2.0973492319646168
26,2.10626873126873
28,2.171911421911421
30,2.087449009324009
32,2.0624000182823705
34,2.1160321160321156
36,2.085633664581033
38,2.064685314685315
40,2.061605061605061
42,1.9817846295119024
44,1.9726360595925805
46,2.0038688163688185
48,1.9459362859362863
50,1.9116908732293352
52,1.9098175487064373
54,1.859466921966921
56,1.8444591806660764
58,1.841096866096867
