time,value
0,1.8406060606060604
2,6.958822843822845
4,7.302424242424243
6,7.196369463869464
8,8.765860139860147
10,8.78893550893551
12,8.156350316350316
14,8.587491258741261
16,7.9680056980057055
18,7.177487179487178
20,7.062358550540372
22,6.6144269619269584
24,6.198165680473378
26,6.66875124875125
28,6.747757575757576
30,6.735922202797206
32,7.175698615110378
34,7.050552965552965
36,6.745217764691445
38,6.8007132867132905
40,6.515181485181488
42,6.253503920322104
44,6.331115840681062
46,6.153794677544682
48,5.932206993006989
50,5.918206024744489
52,5.729035655702326
54,5.548694638694638
56,5.5598119122257055
58,5.400040404040405
