time,value
0,7.6923076923076925
1.0109,13.333333333333334
1.0116666666666667,20
1.2983666666666667,26.666666666666668
1.5931166666666667,33.33333333333333
6.2202,20
6.379716666666667,23.333333333333332
7.8584,26.666666666666668
8.938,30
10.97495,27.77777777777778
11.2848,27.500000000000004
11.420083333333332,28.57142857142857
11.673933333333334,28.888888888888886
11.727366666666667,31.11111111111111
12.044133333333333,30.612244897959183
12.340616666666667,32.6530612244898
12.635316666666666,34.69387755102041
12.7836,36.734693877551024
13.080733333333333,38.775510204081634
13.38645,40.816326530612244
13.68265,42.857142857142854
16.690316666666668,43.13725490196079
17.140883333333335,42.592592592592595
17.587833333333332,41.37931034482759
18.097633333333334,40.32258064516129
18.393716666666666,41.935483870967744
18.687716666666667,43.54838709677419
18.835283333333333,45.16129032258064
19.125766666666667,46.774193548387096
19.273416666666666,48.38709677419355
23.423,42.465753424657535
23.711466666666666,42.66666666666667
24.163533333333334,40.243902439024396
24.2284,41.46341463414634
24.313116666666666,42.68292682926829
24.368933333333334,43.90243902439025
25.02605,45.1219512195122
25.467666666666666,46.34146341463415
29.869933333333332,40.20618556701031
30.524766666666668,40.816326530612244
31.128666666666668,41.83673469387755
31.425166666666666,42.857142857142854
31.721683333333335,43.87755102040816
35.17825,42.30769230769231
35.47785,42.45283018867924
35.93743333333333,42.592592592592595
36.24763333333333,43.51851851851852
36.55833333333333,44.44444444444444
41.2399,43.36283185840708
41.83871666666667,42.3728813559322
42.51273333333334,43.22033898305085
42.818983333333335,44.06779661016949
43.13225,44.91525423728814
47.330983333333336,44.26229508196721
48.28991666666667,44
53.4791,43.07692307692308
53.7717,43.18181818181818
54.27883333333333,43.93939393939394
54.7312,44.696969696969695
55.03405,45.45454545454545
