0,0
40.0,1
80.0,1
120.0,1
160.0,1
200.0,1
240.0,1
280.0,1
320.0,0
360.0,0
400.0,0
440.0,0
480.0,0
520.0,0
560.0,0
600.0,0
640.0,1
680.0,1
720.0,1
760.0,1
800.0,1
840.0,1
880.0,1
920.0,0
960.0,0
1000.0,0
1040.0,0
1080.0,0
1120.0,0
1160.0,0
1200.0,0
1240.0,1
1280.0,1
1320.0,1
1360.0,1
1400.0,1
1440.0,1
1480.0,1
1520.0,0
1560.0,0
1600.0,0
1640.0,0
1680.0,0
1720.0,0
1760.0,0
1800.0,0
1840.0,1
1880.0,1
1920.0,1
1960.0,1
2000.0,1
2040.0,1
2080.0,1
2120.0,0
2160.0,0
2200.0,0
2240.0,0
2280.0,0
2320.0,0
2360.0,0
2400.0,0
2440.0,1
2480.0,1
2520.0,1
2560.0,1
2600.0,1
2640.0,1
2680.0,1
2720.0,0
2760.0,0
2800.0,0
2840.0,0
2880.0,0
2920.0,0
2960.0,0
3000.0,0
3040.0,1
3080.0,1
3120.0,1
3160.0,1
3200.0,1
3240.0,1
3280.0,1
3320.0,0
3360.0,0
3400.0,0
3440.0,0
3480.0,0
3520.0,0
3560.0,0
