value
8
8
6
7
7
8
4
5
6
9
4
8
4
4
5
5
3
7
8
9
6
10
8
8
7
8
9
5
6
5
4
8
6
7
6
8
6
5
9
7
6
10
4
7
4
5
10
5
9
5
5
5
4
6
10
5
6
7
8
4
5
5
5
4
4
8
8
8
3
6
4
4
4
4
8
6
3
6
6
6
6
6
8
3
3
3
3
6
7
6
8
3
6
6
6
8
3
7
4
3
3
2
3
3
3
3
6
4
5
6
6
6
6
3
4
5
6
7
2
3
3
2
2
2
2
2
1
4
2
3
2
2
